KOD_CHISUN,TEUR_CHISUN,IND_PAIL,IND_NIDRESHET_SAMCHUT_ROFE,KOD_TADIRUT_CHISUN,MAXIMUM_MANOT_CHISUN,MAKAT_CHISUN,MISHTAMESH_HOSAFA,TAARICH_HOSAFA,MISHTAMESH_IDKUN,TAARICH_IDKUN
1,Dt (דיפתריה-טטנוס),1,0,1,,960210298, s8880051,12/12/2007 19:48, s8880051,01/01/2009 17:32
2,Mencevax (דלקת קרום המוח מנינגוקוקלית),0,0,1,,960210077, s8880051,12/12/2007 19:48, s8880054,02/04/2019 12:50
